Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Mongolia,0.00,2.71,0.00,1.90,0.82,0.04,0.81,0.06,0.10,0.11,14.50,27.65,5.60,8.61,4.18,6.01,1.66,1.17,0.45,0.67,8.06,1.30
Montenegro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.64,1.66,2.66,2.90,4.22
Montserrat,0.00,0.00,0.00,0.00,0.00,2.31,8.54,28.55,15.36,10.94,8.61,2.68,2.11,1.73,0.39,0.13,0.01,0.00,0.22,0.08,0.15,0.00
Morocco,14.41,18.99,27.52,28.24,10.89,2.86,2.46,7.19,0.98,3.81,4.29,3.92,3.04,2.25,19.34,6.65,6.33,12.60,2.83,1.95,4.22,4.83
Mozambique,26.19,45.67,134.07,118.28,137.52,112.25,21.53,26.43,18.82,21.22,169.94,130.65,33.05,21.76,25.47,17.73,19.11,51.84,51.17,42.94,24.42,26.98
Myanmar,0.01,0.01,0.00,0.23,12.13,27.97,7.65,10.31,15.61,9.74,25.42,28.80,43.47,33.23,35.76,37.15,43.19,54.17,387.34,160.34,108.62,90.19
Namibia,3.83,3.07,8.87,6.00,0.89,2.58,6.74,1.42,2.51,3.72,5.83,6.36,9.24,7.74,8.87,2.29,3.64,3.58,4.55,6.08,2.16,7.11
Nauru,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.07,0.00,0.43,0.05,0.29,0.95,0.06
Nepal,3.81,1.73,15.87,24.27,18.85,21.81,20.63,27.48,24.32,23.16,20.62,29.81,41.14,28.42,35.20,37.93,50.12,69.50,90.46,82.60,33.36,51.16
Netherlands Antilles,0.00,0.00,0.00,0.00,0.00,19.73,0.46,20.69,9.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
New Caledonia,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicaragua,16.36,27.13,25.11,4.13,9.08,26.29,26.17,30.84,78.02,72.44,47.08,31.23,42.46,17.16,33.57,28.90,30.85,43.64,26.76,17.77,13.06,12.45
Niger,4.94,11.51,17.33,7.53,8.64,11.06,7.47,13.29,13.46,5.41,6.21,16.39,10.29,4.81,5.85,80.18,78.34,31.74,53.86,52.96,235.14,177.47
Nigeria,0.70,1.03,1.14,0.97,1.77,2.60,10.18,5.89,3.38,10.88,3.73,7.80,10.29,20.68,21.07,12.46,2.88,2.71,4.66,7.20,11.69,19.40
Niue,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.04,0.02,0.05,0.00,0.00,6.41,0.31,0.00,0.00,0.00,0.00,1.08,0.06
Northern Marianas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oman,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00
Pakistan,118.48,172.63,191.65,56.36,73.99,32.60,27.44,43.09,35.72,37.11,37.08,85.50,71.73,70.49,58.98,432.01,433.40,254.75,185.73,478.56,"1,338.21","1,380.09"
Palau,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.34,0.00,0.06,0.34,0.00,0.06
Panama,0.69,0.76,1.89,1.16,0.21,1.11,0.79,1.54,0.75,0.21,0.19,0.41,0.78,0.57,0.85,0.63,0.47,0.43,1.77,2.05,3.35,3.46
Papua New Guinea,2.11,2.10,1.75,1.48,1.40,1.53,1.15,13.41,40.39,1.68,0.32,0.81,1.14,0.00,1.78,5.99,1.61,3.16,5.25,7.24,33.75,7.13
Paraguay,1.20,2.50,2.16,4.64,0.20,1.20,1.70,1.34,0.27,0.01,0.55,1.05,1.69,0.40,0.43,0.06,0.35,2.73,3.39,1.88,0.74,1.46
Peru,6.00,20.28,10.52,13.88,7.32,23.43,11.01,15.63,23.40,14.70,9.00,34.50,22.66,11.21,10.44,8.30,4.84,62.83,33.12,15.80,13.35,27.03
Philippines,22.72,24.11,20.81,13.11,11.06,13.71,9.75,5.69,11.38,5.98,3.43,10.81,7.36,2.70,10.36,9.37,27.26,24.64,38.91,93.42,112.16,121.21
Qatar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rwanda,3.50,5.38,11.00,74.25,167.02,544.21,321.65,45.73,117.94,143.97,68.40,34.56,39.14,33.86,54.63,44.17,26.64,21.34,16.84,20.15,12.53,24.14
Samoa,0.58,0.08,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.07,0.17,0.02,0.00,3.38,18.20,0.71
Sao Tome & Principe,1.80,2.33,6.71,3.14,1.64,2.42,0.49,0.26,0.74,0.22,1.72,0.54,0.61,0.77,0.19,0.70,0.63,0.14,0.55,0.46,0.10,0.46
Saudi Arabia,0.00,0.00,0.45,0.00,0.00,1.50,1.82,1.83,2.16,1.89,1.51,2.16,3.00,1.80,2.28,1.18,1.07,0.84,0.00,0.00,0.00,0.00
Senegal,14.55,16.04,17.69,16.05,7.88,11.29,7.89,8.10,9.42,10.41,6.26,6.07,12.18,12.10,9.37,8.74,7.29,8.79,17.51,12.20,10.11,10.29
Serbia,0.00,0.00,0.00,0.00,0.00,48.08,48.76,97.97,87.63,928.58,771.65,329.44,123.27,142.34,143.40,46.04,32.91,30.50,22.36,17.12,16.22,20.66
Seychelles,0.26,0.15,0.15,0.16,0.00,0.45,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.68,0.65,0.36,0.00,0.10,0.12,0.68
Sierra Leone,4.74,5.71,6.31,7.99,3.18,24.93,33.76,29.87,32.34,69.94,54.73,150.51,188.78,135.87,86.73,48.35,43.61,33.96,19.70,11.35,9.56,16.13
Singapore,0.44,0.57,0.90,0.68,0.85,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Slovenia,0.00,0.00,0.00,0.00,6.75,1.22,3.53,3.89,2.69,2.50,1.85,2.19,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Solomon Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.19,1.38,2.48,0.65,0.00,0.89,9.06,2.36,0.11,4.92,3.21,1.22,16.56,2.03
