"iso3","Population (2012)","Population living in urban areas (2010)","Annual average population growth rate (2012)","Number of people affected by natural disasters (2013)","Impact of natural disasters: population affected (average per year-million) (2013)","Poverty headcount ratio at US$1.25 a day (2011)","Under-5 mortality rate (2012)","Population using improved drinking-water sources (2011)","Human development index (HDI) (2011)","GDP growth (annual %) (2011)","Malnutrition prevalence, weight for age (% of children under 5) (2011)","Life expectancy at birth, total (years) (2011)","Physicians (per 1,000 people) (2011)","Mobile cellular subscriptions (per 100 people) (2011)","country_name","Humanitarian funding received (2011)","Total Population of Concern to UNHCR (2013)","Number of last 10 years experiencing active conflict (2013)"
"SSD",10837527,17.858,4.30270250164013,NA,NA,NA,104,NA,NA,1.56622107665866,NA,54.0455609756098,NA,17.3391862719883,"South Sudan","477.35","625,489",2
"STP",188098,61.988,2.65102051012848,NA,NA,NA,53.2,97,0.522,4.94344933601178,NA,66.0032682926829,NA,62.8015525966688,"Sao Tome and Principe",NA,NA,NA
"SWZ",1230985,21.316,1.54115947512782,NA,NA,NA,79.7,72,0.536,0.299999999999983,NA,48.6613902439024,NA,63.2375785684881,"Swaziland",NA,NA,NA
"SYR",22399254,55.673,1.97287204230491,NA,NA,NA,15.1,90,NA,NA,NA,74.7705853658537,NA,59.2404373381603,"Syrian Arab Republic","109.64","4,619,088",2
"TCD",12448175,21.739,3.00197704046213,NA,NA,NA,149.8,50,0.336,0.0828697988818305,NA,50.2361951219512,NA,30.3447828843571,"Chad",NA,NA,6
"TGO",6642928,37.533,2.60206799248753,NA,NA,28.22,95.5,59,0.455,4.79691750115592,NA,55.8076585365854,NA,41.6441347625204,"Togo",NA,NA,NA
"THA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"THA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"THA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"THA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"TJK",8008990,26.5,2.45388909141654,2500,2500,NA,58.3,66,NA,7.40000000000012,NA,67.1352195121951,1.899,80.922858404192,"Tajikistan","9.86","5,928",2
"TLS",1210233,27.96,2.87960996008512,NA,NA,NA,56.7,69,NA,12.0303970887295,NA,66.4918048780488,0.073,56.0206988460202,"Timor-Leste",NA,NA,NA
"TON",104941,23.368,0.369460311907563,NA,NA,NA,12.8,99,NA,2.88319889880204,NA,72.335243902439,NA,52.604395814603,"Tonga","0.23","3",NA
"TUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"TZA",47783107,26.279,3.03514840183491,0,0,NA,54,53,0.47,6.44879720121862,NA,60.0746585365854,NA,55.3698039118312,"United Republic of Tanzania",NA,NA,NA
"UGA",36345860,15.158,3.35107662798138,25671,25671,NA,68.9,75,0.454,6.62038414816644,14.1000003814697,58.0175365853659,NA,47.504727429653,"Uganda","55.84","265,860",8
"UKR",45593300,68.685,-0.247099230432045,NA,NA,NA,10.7,98,NA,5.19999999999993,NA,70.8092682926829,3.517,121.338819586723,"Ukraine",NA,NA,NA
"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"UZB",29776850,36.204,1.47368702118789,NA,NA,NA,39.6,87,NA,8.29999999999991,NA,67.9803902439024,NA,90.3737515960822,"Uzbekistan","1.49","141",1
"VNM",88775500,30.393,1.05937332683473,5011,5011,NA,23,96,NA,6.24030274887527,NA,75.4579024390244,1.159,141.599870213696,"Vietnam",NA,NA,NA
"VUT",247262,24.589,2.24285534408512,NA,NA,NA,17.9,91,NA,1.4297214055719,NA,71.1280487804878,NA,64.4479646617972,"Vanuatu",NA,NA,NA
"WSM",188889,20.078,0.77594339117364,NA,NA,NA,17.8,98,NA,1.41505712861604,NA,72.6957804878049,NA,NA,"Samoa",NA,NA,NA
"YEM",23852409,31.742,2.32513592206286,49114,49114,NA,60,55,NA,-10.4796677502223,NA,62.7184878048781,NA,50.0682151539512,"Yemen","168.04","655,104",4
"ZMB",14075099,38.725,3.18554975136605,1800,1800,NA,88.5,64,0.443,6.83614523874692,NA,55.8331463414634,NA,59.8846645497703,"Zambia",NA,NA,NA
"ZWE",13724317,38.13,2.69985203826094,9700,9700,NA,89.8,80,0.387,10.5517368249836,NA,55.9462195121951,NA,68.8687808683725,"Zimbabwe",NA,NA,NA
